HDFC BANK LIMITED - STATEMENT OF ACCOUNT
Account No :,50200012345678
Account Branch :,BERHAMPUR ODISHA
Statement From :,05/03/26

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
05/03/26,RAZORPAY SETTLEMENT ICIC260302207689                        ,BR0076175281,05/03/26,,"9,298.00","12,59,298.00"
06/03/26,BY TRANSFER-NEFT*KKBK26O3021*RZP                            ,BR8034321546,05/03/26,,"14,422.08","12,73,720.08"
06/03/26,IMPS/P2A/UTIB260303/RAZORPAY/SETTL                          ,BR1330487920,06/03/26,,"1,991.21","12,75,711.29"
06/03/26,RAZORPAY SETTLEMENT UTIB260303556366                        ,BR1909236498,06/03/26,,"87,909.68","13,63,620.97"
06/03/26,RAZORPAY SETTLEMENT UTIB260304871559                        ,BR2053018297,06/03/26,,"2,442.97","13,66,063.94"
06/03/26,RAZORPAY SETTLEMENT HDFC260304946616                        ,BR4313423959,06/03/26,,"21,415.35","13,87,479.29"
06/03/26,RAZORPAY SETTLEMENT KKBK260304436080                        ,BR4542273876-STALE,06/03/26,,"91,516.25","14,78,995.54"
06/03/26,RAZORPAY SETTLEMENT SBIN260304952906                        ,BR8588828655-STALE,06/03/26,,"12,571.18","14,91,566.72"
06/03/26,RAZORPAY SETTLEMENT ICIC260303856857                        ,BR8814250692,06/03/26,,"29,924.76","15,21,491.48"
06/03/26,RAZORPAY SETTLEMENT ICIC260304658053                        ,BR8982363798,06/03/26,,"18,763.04","15,40,254.52"
07/03/26,RAZORPAY SETTLEMENT PART 1/3 HDFC260302262865/1             ,BR0588036006-P1,07/03/26,,"29,077.36","15,69,331.88"
07/03/26,REV/RETURN NEFT KKBK260304436080 BENEFICIARY                ,BR4542273876-REV,07/03/26,"91,516.25",,"14,77,815.63"
07/03/26,REV/RETURN NEFT SBIN260304952906 BENEFICIARY                ,BR8588828655-REV,07/03/26,"12,571.18",,"14,65,244.45"
08/03/26,MB/S8IN260304/RAZORPAYSOFT/PAYOUT                           ,BR6378008520,06/03/26,,"1,259.14","14,66,503.59"
08/03/26,RAZORPAY SETTLEMENT PART 2/3 HDFC260302262865/2             ,BR0588036006-P2,08/03/26,,"4,361.60","14,70,865.19"
08/03/26,RE-SETL RAZORPAY KKBK260304436080                           ,BR4542273876-RE,08/03/26,,"91,516.25","15,62,381.44"
08/03/26,RE-SETL RAZORPAY SBIN260304952906                           ,BR8588828655-RE,08/03/26,,"12,571.18","15,74,952.62"
09/03/26,TRF FROM RAZORPAY REF UTIB26030345I709 CR                   ,BR0433010176,09/03/26,,"9,012.42","15,83,965.04"
09/03/26,RAZORPAY SETTLEMENT PART 3/3 HDFC260302262865/3             ,BR0588036006-P3,09/03/26,,"2,907.75","15,86,872.79"
09/03/26,RAZORPAY SETTLEMENT UTIB260305376762                        ,BR1497836940,09/03/26,,"3,499.00","15,90,371.79"
09/03/26,RAZORPAY SETTLEMENT KKBK260304935948                        ,BR3763830698,09/03/26,,"17,432.60","16,07,804.39"
09/03/26,ACH C- RAZORPAY-SETTLEMENT-HDFC260305673381                 ,BR4723690523,09/03/26,,487.81,"16,08,292.20"
09/03/26,MB/HDFC260305450930/RAZORPAYSOFT/PAYOUT                     ,BR4729086176,09/03/26,,"2,398.50","16,10,690.70"
09/03/26,TRF FROM RAZORPAY REF SBIN26030 CR                          ,BR6085662567,09/03/26,,"3,890.90","16,14,581.60"
09/03/26,NEFT-HDFC26030539-RAZORPAY SOFTWARE PVT                     ,BR7718266038,09/03/26,,"15,713.12","16,30,294.72"
09/03/26,RAZORPAY SETTLEMENT UTIB260303892294                        ,BR8447894704,09/03/26,,"90,346.43","17,20,641.15"
09/03/26,RAZORPAY SETTLEMENT KKBK260305921060                        ,BR8570732112,09/03/26,,"4,872.17","17,25,513.32"
09/03/26,RAZORPAY SETTLEMENT UTIB260305368857                        ,BR9757174813,09/03/26,,"6,237.78","17,31,751.10"
10/03/26,IMPS/P2A/SBIN26O305682/RAZORPAY/SETTL                       ,BR6203195807,09/03/26,,"18,343.80","17,50,094.90"
10/03/26,RAZORPAY SETTLEMENT KKBK260307589258                        ,BR0404200672,10/03/26,,"1,46,130.97","18,96,225.87"
10/03/26,BY TRANSFER-NEFT*ICIC260306818*RZP                          ,BR0840607298,10/03/26,,"8,476.49","19,04,702.36"
10/03/26,RAZORPAY SETTLEMENT UTIB260306361847                        ,BR1335408624,10/03/26,,"1,58,805.22","20,63,507.58"
10/03/26,RAZORPAY SETTLEMENT ICIC260307593002                        ,BR2255171666,10/03/26,,"12,191.63","20,75,699.21"
10/03/26,RAZORPAY SETTLEMENT KKBK260302995841                        ,BR2497981008,10/03/26,,499.00,"20,76,198.21"
10/03/26,RAZORPAY SETTLEMENT PART 1/2 KKBK260303530897/1             ,BR5626127733-P1,10/03/26,,"20,360.04","20,96,558.25"
10/03/26,RAZORPAY SETTLEMENT UTIB260306022942                        ,BR5653383129,10/03/26,,"17,694.11","21,14,252.36"
10/03/26,RAZORPAY SETTLEMENT UTIB260306456902                        ,BR6870383312,10/03/26,,"14,783.06","21,29,035.42"
10/03/26,RAZORPAY SETTLEMENT PART 1/3 HDFC260303927021/1             ,BR8879398581-P1,10/03/26,,"5,632.41","21,34,667.83"
11/03/26,RAZORPAY SETTLEMENT HDFC260308681169                        ,BR3896442110,10/03/26,,"5,758.32","21,40,426.15"
11/03/26,RAZORPAY SETTLEMENT HDFC260308970189                        ,BR0676793176,11/03/26,,"22,621.46","21,63,047.61"
11/03/26,ACH C- RAZORPAY-SETTLEMENT-ICIC26030                        ,BR1423648554,11/03/26,,"12,498.00","21,75,545.61"
11/03/26,RAZORPAY SETTLEMENT PART 2/2 KKBK260303530897/2             ,BR5626127733-P2,11/03/26,,"8,725.74","21,84,271.35"
11/03/26,RAZORPAY SETTLEMENT PART 1/3 KKBK260305939332/1             ,BR5852062965-P1,11/03/26,,"2,719.92","21,86,991.27"
11/03/26,BY TRANSFER-NEFT*SBIN2603093*RZP                            ,BR7315115099,11/03/26,,"1,01,587.02","22,88,578.29"
11/03/26,RAZORPAY SETTLEMENT UTIB260306165675                        ,BR7920942222,11/03/26,,"7,803.62","22,96,381.91"
11/03/26,RAZORPAY SETTLEMENT SBIN260306771083                        ,BR9039781348,11/03/26,,"8,556.10","23,04,938.01"
11/03/26,TRF FROM RAZORPAY REF SBIN2603092 CR                        ,BR9244587913,11/03/26,,973.65,"23,05,911.66"
11/03/26,RAZORPAY SETTLEMENT KKBK260306758215                        ,BR9991954890-STALE,11/03/26,,"3,298.44","23,09,210.10"
12/03/26,RAZORPAY SETTLEMENT KKBK260309153697                        ,BR6975002654,11/03/26,,"41,745.68","23,50,955.78"
12/03/26,RAZORPAY SETTLEMENT HDFC260309031966                        ,BR1255867363,12/03/26,,"12,562.79","23,63,518.57"
12/03/26,NEFT-SBIN260310281303-RAZORPAY SOFTWARE PVT                 ,BR2233898401,12/03/26,,999.00,"23,64,517.57"
12/03/26,MB/KKBK26030992/RAZORPAYSOFT/PAYOUT                         ,BR2539545581,12/03/26,,"30,498.93","23,95,016.50"
12/03/26,ACH C- RAZORPAY-SETTLEMENT-ICIC260310                       ,BR3719014889,12/03/26,,"4,806.50","23,99,823.00"
12/03/26,MB/HDFC260310696344/RAZORPAYSOFT/PAYOUT                     ,BR4290262523,12/03/26,,"18,494.92","24,18,317.92"
12/03/26,TRF FROM RAZORPAY REF KKBK260309473134 CR                   ,BR4972922696,12/03/26,,"1,299.00","24,19,616.92"
12/03/26,TRF FROM RAZORPAY REF ICIC260310327316 CR                   ,BR8480721486,12/03/26,,"1,465.39","24,21,082.31"
12/03/26,RAZORPAY SETTLEMENT UTIB260309460653                        ,BR9017711085,12/03/26,,"2,148.50","24,23,230.81"
12/03/26,REV/RETURN NEFT KKBK260306758215 BENEFICIARY                ,BR9991954890-REV,12/03/26,"3,298.44",,"24,19,932.37"
13/03/26,RAZORPAY SETTLEMENT ICIC260309358816                        ,BR8690886357,11/03/26,,"2,499.00","24,22,431.37"
13/03/26,RAZORPAY SETTLEMENT HDFC260306863955                        ,BR9784460899,11/03/26,,"9,409.23","24,31,840.60"
13/03/26,RAZORPAY SETTLEMENT PART 2/3 KKBK260305939332/2             ,BR5852062965-P2,12/03/26,,407.98,"24,32,248.58"
13/03/26,RAZORPAY SETTLEMENT HDFC260310537241                        ,BR6091640419,12/03/26,,"2,489.76","24,34,738.34"
13/03/26,RAZORPAY SETTLEMENT UTIB260309646728                        ,BR6775403522,12/03/26,,"1,948.28","24,36,686.62"
13/03/26,RAZORPAY SETTLEMENT SBIN260311675457                        ,BR0624026009,13/03/26,,"15,657.50","24,52,344.12"
13/03/26,RAZORPAY SETTLEMENT HDFC260311829612                        ,BR1165027585,13/03/26,,973.65,"24,53,317.77"
13/03/26,TRF FROM RAZORPAY REF HDFC2603119 CR                        ,BR2557360161,13/03/26,,"69,466.79","25,22,784.56"
13/03/26,RAZORPAY SETTLEMENT UTIB260311265618                        ,BR2731829085,13/03/26,,"11,497.50","25,34,282.06"
13/03/26,NEFT-HDFC260311470-RAZORPAY SOFTWARE PVT                    ,BR5165512463,13/03/26,,"6,385.55","25,40,667.61"
13/03/26,RAZORPAY SETTLEMENT ICIC260311731706                        ,BR5220546446-STALE,13/03/26,,"16,032.52","25,56,700.13"
13/03/26,BY TRANSFER-NEFT*HDFC260311043694*RZP                       ,BR5321487204,13/03/26,,973.65,"25,57,673.78"
13/03/26,RAZORPAY SETTLEMENT UTIB260311396697                        ,BR6448388179,13/03/26,,"22,967.70","25,80,641.48"
13/03/26,RAZORPAY SETTLEMENT HDFC260311320123                        ,BR8099395446,13/03/26,,"3,499.00","25,84,140.48"
13/03/26,RAZORPAY SETTLEMENT UTIB260310990825                        ,BR9544330903,13/03/26,,799.00,"25,84,939.48"
14/03/26,RAZORPAY SETTLEMENT PART 2/3 HDFC260303927021/2             ,BR8879398581-P2,12/03/26,,"4,928.36","25,89,867.84"
14/03/26,RAZORPAY SETTLEMENT KKBK260311439787                        ,BR0017661480,13/03/26,,995.11,"25,90,862.95"
14/03/26,BY TRANSFER-NEFT*KKBK260305939332/3*RZP                     ,BR5852062965-P3,13/03/26,,272.00,"25,91,134.95"
14/03/26,RAZORPAY SETTLEMENT PART 1/3 KKBK260311884595/1             ,BR3171431093-P1,14/03/26,,"74,510.70","26,65,645.65"
14/03/26,RAZORPAY SETTLEMENT UTIB260306874011                        ,BR4051524254,14/03/26,,"19,187.29","26,84,832.94"
14/03/26,REV/RETURN NEFT ICIC260311731706 BENEFICIARY                ,BR5220546446-REV,14/03/26,"16,032.52",,"26,68,800.42"
15/03/26,RAZORPAY SETTLEMENT UTIB260311263051                        ,BR5790909305,13/03/26,,"2,931.28","26,71,731.70"
15/03/26,RAZORPAY SETTLEMENT KKBK260311294675                        ,BR9302769110,13/03/26,,"11,937.76","26,83,669.46"
15/03/26,TRF FROM RAZORPAY REF ICIC260309464233 CR                   ,BR5653649465,14/03/26,,"5,498.00","26,89,167.46"
15/03/26,RAZORPAY SETTLEMENT PART 2/3 KKBK260311884595/2             ,BR3171431093-P2,15/03/26,,"11,176.60","27,00,344.06"
15/03/26,RAZORPAY SETTLEMENT PART 3/3 KKBK260311884595/3             ,BR3171431093-P3,15/03/26,,"7,451.08","27,07,795.14"
15/03/26,BY TRANSFER-NEFT*ICIC260311731706*RZP                       ,BR5220546446-RE,15/03/26,,"16,032.52","27,23,827.66"
15/03/26,RAZORPAY SETTLEMENT HDFC260305813911                        ,BR5419083467,15/03/26,,"7,306.80","27,31,134.46"
16/03/26,MB/HDFC2603116/RAZORPAYSOFT/PAYOUT                          ,BR0300732039,16/03/26,,"5,497.00","27,36,631.46"
16/03/26,RAZORPAY SETTLEMENT UTIB260312558520                        ,BR3022253164,16/03/26,,"21,917.55","27,58,549.01"
16/03/26,RAZORPAY SETTLEMENT UTIB260311763975                        ,BR9270632307,16/03/26,,"2,495.46","27,61,044.47"
16/03/26,RAZORPAY SETTLEMENT SBIN260312002415                        ,BR9699423180,16/03/26,,"24,300.32","27,85,344.79"
16/03/26,RE-SETL RAZORPAY KKBK260306758215                           ,BR9991954890-RE,16/03/26,,"3,298.44","27,88,643.23"
17/03/26,RAZORPAY SETTLEMENT ICIC260311392657                        ,BR3130344634,16/03/26,,"10,524.05","27,99,167.28"
17/03/26,RAZORPAY SETTLEMENT KKBK260313035679                        ,BR0021290328,17/03/26,,"5,999.00","28,05,166.28"
17/03/26,RAZORPAY SETTLEMENT KKBK260315345899                        ,BR0194772134,17/03/26,,"15,954.46","28,21,120.74"
17/03/26,RAZORPAY SETTLEMENT ICIC260315527838                        ,BR0606083112,17/03/26,,"56,269.71","28,77,390.45"
17/03/26,ACH C- RAZORPAY-SETTLEMENT-HDFC260306572                    ,BR1149542986,17/03/26,,"4,708.37","28,82,098.82"
17/03/26,RAZORPAY SETTLEMENT HDFC260312437565                        ,BR2321246955,17/03/26,,"1,10,726.95","29,92,825.77"
17/03/26,RAZORPAY SETTLEMENT UTIB260314276733                        ,BR3306445243-STALE,17/03/26,,"14,496.50","30,07,322.27"
17/03/26,IMPS/P2A/ICIC260313130069/RAZORPAY/SETTL                    ,BR5108523019,17/03/26,,"1,948.28","30,09,270.55"
17/03/26,TRF FROM RAZORPAY REF SBIN260312907939 CR                   ,BR6183100680,17/03/26,,"1,999.00","30,11,269.55"
17/03/26,RAZORPAY SETTLEMENT KKBK260313175418                        ,BR6683625490,17/03/26,,"17,981.64","30,29,251.19"
17/03/26,RAZORPAY SETTLEMENT UTIB260313834248                        ,BR6771520015,17/03/26,,"15,398.26","30,44,649.45"
